"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"201412","brazil","cumu",596435,128029.936673071,-1.09134798872908,"2014","12"
"201412","brazil","new",946,203.0670904503,-1.09134798872908,"2014","12"
"201501","brazil","new",171,36.7066305148006,-1.07657086336843,"2015","01"
"201501","brazil","cumu",596606,128066.643303586,-1.07657086336843,"2015","01"
"201502","brazil","cumu",596785,128105.067203364,-1.11754585607746,"2015","02"
"201502","brazil","new",179,38.4238997786509,-1.11754585607746,"2015","02"
"201503","brazil","cumu",596927,128135.548732798,-0.9608961179018,"2015","03"
"201503","brazil","new",142,30.4815294333432,-0.9608961179018,"2015","03"
"201504","brazil","cumu",596976,128146.067007039,-0.92911149085918,"2015","04"
"201504","brazil","new",49,10.5182742410832,-0.92911149085918,"2015","04"
"201505","brazil","new",67,14.3821300847464,-0.886049171110803,"2015","05"
"201505","brazil","cumu",597043,128160.449137123,-0.886049171110803,"2015","05"
"201506","brazil","cumu",597233,128201.23428214,-0.841346733397391,"2015","06"
"201506","brazil","new",190,40.7851450164451,-0.841346733397391,"2015","06"
"201507","brazil","new",340,72.9839437136386,-0.882614622066304,"2015","07"
"201507","brazil","cumu",597573,128274.218225853,-0.882614622066304,"2015","07"
"201508","brazil","new",7050,1513.34353876809,-1.0743145424565,"2015","08"
"201508","brazil","cumu",604623,129787.561764622,-1.0743145424565,"2015","08"
"201509","brazil","new",9021,1936.43575364922,-1.30154426634847,"2015","09"
"201509","brazil","cumu",613644,131723.997518271,-1.30154426634847,"2015","09"
"201510","brazil","cumu",619548,132991.342234992,-1.58731472657976,"2015","10"
"201510","brazil","new",5904,1267.34471672154,-1.58731472657976,"2015","10"
"201511","brazil","new",5931,1273.14050048703,-1.7650038198951,"2015","11"
"201511","brazil","cumu",625479,134264.482735479,-1.7650038198951,"2015","11"
"201512","brazil","new",13796,2961.43084550988,-2.17489950723137,"2015","12"
"201512","brazil","cumu",639275,137225.913580989,-2.17489950723137,"2015","12"
"201601","brazil","cumu",643499,138132.631752302,-2.20833533710661,"2016","01"
"201601","brazil","new",4224,906.718171312969,-2.20833533710661,"2016","01"
"201602","brazil","cumu",648362,139176.516806065,-2.31741455880874,"2016","02"
"201602","brazil","new",4863,1043.88505376301,-2.31741455880874,"2016","02"
"201603","brazil","cumu",650353,139603.902194106,-2.13165374323498,"2016","03"
"201603","brazil","new",1991,427.385388040748,-2.13165374323498,"2016","03"
"201604","brazil","new",80,17.1726926385032,-2.16210943770336,"2016","04"
"201604","brazil","cumu",650433,139621.074886744,-2.16210943770336,"2016","04"
